Recipient.Organization,deliverychannels
Milinda Moragoda institute for people's empowerment,NGOs and CSOs
Sewalanka,NGOs and CSOs
Industri Energi (fagforbundet),NGOs and CSOs
Pastoralist Integrated Support Programme,NGOs and CSOs
Sterling Export Corp,Other
EU Special Representative,Public Sector
Social Economical Environmental Developers,NGOs and CSOs
Danish Fellowship Centre,Public Sector
Press Emblem Campaign,NGOs and CSOs
Swiss Campaign to Ban Landmines,NGOs and CSOs
Institutt for Sosiologi og Samfunnsgeografi,NGOs and CSOs
Survivor Corps,NGOs and CSOs
Statens Forurensningstilsyn,Public Sector
"Frontiers, Ruwad Association",NGOs and CSOs
Norsk Vietnamesisk Senter,Other
Centre de Recherche SantÈ,NGOs and CSOs
World Education,NGOs and CSOs
Global Alliance for Improved Nutrition,UN Multi
Guatemalan Red Cross,RCRC
Central Social,Other
MAPACT,Other
Japan-ASEAN Integration Fund,Other
Scandinavian Children's Mission,NGOs and CSOs
Emergency Architects,NGOs and CSOs
U.N. Mission in the Central African Republic and Chad (MINURCAT),UN Multi
MSZ,Other
Small Arms Survey,NGOs and CSOs
FundaciÛn Antonio Restrepo Barco,NGOs and CSOs
"Comite de crise ""Nyiragongo 2002""",Public Sector
VAF - Verein f¸r Afghanistan Fˆrderung,NGOs and CSOs
British Council,NGOs and CSOs
SPDS,NGOs and CSOs
KISIMA Peace and Development Organization,Other
Child Development Foundation,NGOs and CSOs
L'Agora/Madani Dia,Other
VISION,NGOs and CSOs
Integrated Sustainable Livelihoods,Other
Africa 2000 Network,NGOs and CSOs
RECSASEC - Regional Centre on Small Arms and Light Weapons,NGOs and CSOs
Periodic Review  - TCG,NGOs and CSOs
Groupe de Recherche et d'Echanges Technologiques,NGOs and CSOs
Myanmar Business Coalition on AIDS,NGOs and CSOs
North-South Institute,NGOs and CSOs
Moravian Church,NGOs and CSOs
African Union Mission in Somalia,Other multi
Edinburgh Direct Aid,NGOs and CSOs
World Congress Against the Death Penalty,NGOs and CSOs
International Commission Against Impunity,Other multi
Chora - Organisation Tchadienne pour le DÈveloppement,Other
Child Advocacy International,NGOs and CSOs
The Mosaic Religious Community,NGOs and CSOs
Auschwitz-Birkenau Foundation,NGOs and CSOs
Red Cross of Cape Verde,RCRC
"QED Limited, LLC",Other
SOS Futures Maman,NGOs and CSOs
PEGASE,Public Sector
Manitoba Council for International Co-operation,NGOs and CSOs
British Airways,Other
US Fund for UNICEF,NGOs and CSOs
Share our Strength,NGOs and CSOs
ChaÓne du Bonheur,Other
Clinton Bush Haiti Fund,NGOs and CSOs
Aide Ì† l'Enfance de Canada,NGOs and CSOs
Global Links,Other
Feed My Starving Children,NGOs and CSOs
MINUSTAH,UN Multi
Operation Helping Hand of Tampa,NGOs and CSOs
USA Friends of WFP,NGOs and CSOs
GEA Society,NGOs and CSOs
RCN Justice Democratie,NGOs and CSOs
"Association de soutien aux refugies, aux personnes deplacees et aux detenus",Other
Kids in Distressed Situations,NGOs and CSOs
University of Miami,NGOs and CSOs
MAXIMUS,Other
Cumberland Pharmaceuticals Inc,Other
Yele Haiti Foundation,NGOs and CSOs
Afghan Health and Social Assistance Organisation,NGOs and CSOs
Brother's Brother Foundation,NGOs and CSOs
American Institutes for Research,NGOs and CSOs
Associates in Rural Development,Other
Afghanistan Solidarity Organization,NGOs and CSOs
Lambi Fund of Haiti,Other
Feed the Children,NGOs and CSOs
Fray Rene Giroux Mission,Other
GRSP - Ghazni Rural Support Program - Afghanistan,NGOs and CSOs
Global H20,NGOs and CSOs
Meds & Food for Kids,NGOs and CSOs
Convoy of Hope,NGOs and CSOs
Walmart Foundation,NGOs and CSOs
ANGLO AMERICAN PLC,Other
Medishare,NGOs and CSOs
Petits FrËres et Soeurs,NGOs and CSOs
SMU - Strategic Monitoring Unit (Afghanistan),UN Multi
FedEx,Other
Philani Maswati Organization,NGOs and CSOs
Mine Action Programme for Afghanistan,Other
International Telecommunications Union,UN Multi
Wereld-missiehulp,NGOs and CSOs
IBN SINA,Other
ISS - Institute for Security Studies,NGOs and CSOs
Reporters Sans FrontiËres,NGOs and CSOs
Collectif HaÔti de France,NGOs and CSOs
Association Fraternite Universelle,NGOs and CSOs
International Movement ATD Fourth World,NGOs and CSOs
MÈdecins du Monde Greece,NGOs and CSOs
National Integrated Development Agency,NGOs and CSOs
ISRA - Islamic Relief Agency,NGOs and CSOs
IDDEALES,NGOs and CSOs
AÌèNA (Afghanistan),NGOs and CSOs
ACU/START,Other
Pharmaciens et Aide humanitaire,NGOs and CSOs
Fuel Relief Fund,NGOs and CSOs
St. Damien Hospital,Other
Haitian Women of Miami,Other
International Planned Parenthood Federation Western Hemisphere Region,NGOs and CSOs
Clinton Foundation,NGOs and CSOs
Association of Evangelicals in Africa,Other
CPR Savers and First Aid Supply,Other
"Interstate Products, Inc",Other
Afrique Verte Niger,NGOs and CSOs
IgarapÈ,Public Sector
Samisk H¯gskole,NGOs and CSOs
Media21,Other
Entrepreneurs du Monde,NGOs and CSOs
Floresta Ayiti [Plant With Purpose],NGOs and CSOs
CitiHope International,NGOs and CSOs
Fondation Orient Occident,NGOs and CSOs
Global Hope Network International,NGOs and CSOs
Care Sudan,NGOs and CSOs
Marie Stopes International,NGOs and CSOs
Social Solidarity Organisation,NGOs and CSOs
Nomads Development and Environmental Conservation,Other
Hakima,Other
Nuba Mountains International Association for Development,NGOs and CSOs
Afghan Development Association,NGOs and CSOs
Active in Development Aid,NGOs and CSOs
Gender Education Empowerment and Leadership Organization,Other
Service Health Relief Development Organization,NGOs and CSOs
SWISSAID,NGOs and CSOs
Bilkent Holding,Other
ERIC,NGOs and CSOs
Universidad de Chile,NGOs and CSOs
Vamos Adelante,NGOs and CSOs
CONCORD,NGOs and CSOs
Ibon Foundation,NGOs and CSOs
United Nations Political Office for Somalia,UN Multi
Sharukhi Rehabilitation Project,Other
Zafar Cooperation Organization,NGOs and CSOs
Global Initiative to End All Corporal Punishment of Children,Other
United Nations Office of Legal Affairs,UN Multi
Fundacion Imagina,NGOs and CSOs
Double Harvest,NGOs and CSOs
Red Crescent Society of Uzbekistan,RCRC
Dinah Falala & Phoebe Sandi Foundation,NGOs and CSOs
African Development and Emergency Organisation,NGOs and CSOs
Aamin Organization,NGOs and CSOs
Techno Plan,Other
Hiran Water Supply and Community Development Organisation,NGOs and CSOs
Centrum voor Afrikaanse Cultuur,NGOs and CSOs
Mubarak for Relief and Development Organization,NGOs and CSOs
Comitato Europeo per la Formazione in Agricoltura,NGOs and CSOs
"IRIS KIM, Inc.",Other
Karda Systems,Other
Community Foundation of Broward,NGOs and CSOs
Holt International Childrens Services,NGOs and CSOs
Finca,Other
"SociÈtÈ GÈnÈrale de SolidaritÈ, S.A.",NGOs and CSOs
Abraham's Oasis,NGOs and CSOs
Red Cross Society of the Republic of Moldova,RCRC
International Peace and Cooperation Center (IPCC),NGOs and CSOs
NiÒos de la Tierra,NGOs and CSOs
FIDCON,NGOs and CSOs
Future of Orphans,NGOs and CSOs
PRIMA SYNERGIE,Other
Actions pour le Developpement Integre en Mileu Rural,NGOs and CSOs
CARITAS DUNGU,NGOs and CSOs
Centre pour la Promotion de la Sante,NGOs and CSOs
Appui aux Initiatives de Bien Etre Familial,Other
BEPROD,Other
NinÙs del Cusco,NGOs and CSOs
Aid for Refugees and Orphans,NGOs and CSOs
Mercy Relief,NGOs and CSOs
Latter-Day Saint Charities,NGOs and CSOs
Consortium of British Humanitarian Agencies,NGOs and CSOs
InfoAsAid,NGOs and CSOs
Cchin HR Organization,Other
Clowns without Borders,NGOs and CSOs
Helping Hands,Other
"Nuba Mountain Relief, Rehabilitation and Development Organization",NGOs and CSOs
Ngazi Moja Foundation,NGOs and CSOs
Aragti Relief and Development Organization,NGOs and CSOs
ICASE,NGOs and CSOs
National Commission for Human Development,NGOs and CSOs
Arab Physicians Federation,NGOs and CSOs
Stockholm International Peace Research Institute,NGOs and CSOs
Universidad Nacional Autonoma de Honduras,NGOs and CSOs
Heilsarmee,NGOs and CSOs
Afghan Mobile Reconstruction Association,NGOs and CSOs
SKUPAJ,NGOs and CSOs
Solidar,NGOs and CSOs
Indus Resource Centre,Other
Association for Humanity Development,Other
LSQC,Other
SolidaritÈ Syndicale - Luxembourg,NGOs and CSOs
TECHO,NGOs and CSOs
Pakistan Association  in Dubai,NGOs and CSOs
ACH-UK/INTERMON,Other
Bright Future Organization,NGOs and CSOs
PAIMAN Alumni Trust,Other
Response International,NGOs and CSOs
Rural Development Project,NGOs and CSOs
Society for Sustainable Development,Other
Strengthening Participatory Organization,NGOs and CSOs
Taraqee Foundation,NGOs and CSOs
Southern Alliance for Indigenous Resources,NGOs and CSOs
ZACF,NGOs and CSOs
Mobilink Foundation,NGOs and CSOs
Access Aid and Development,NGOs and CSOs
Al-Khidmat Foundation,NGOs and CSOs
STC SW,Other
International Action Network on Small Arms,NGOs and CSOs
World Organisation Against Torture,NGOs and CSOs
Dag Hammarskjold Scholarship Fund for Journalists,Other
Fazilia Trust Pakistan,Other
Senter for Krisepsykologi,NGOs and CSOs
The Fund for Peace,NGOs and CSOs
Bureau des Nations Unies en Centrafrique (United Nations Peace-Building Support Office in CAR),UN Multi
CorporaciÛn GestiÛn Ecuador,NGOs and CSOs
Caritas Katanga,NGOs and CSOs
Apostolic Christian World Relief,NGOs and CSOs
Pema Medical Charity,NGOs and CSOs
Tunisia,Public Sector
Al Maktoum Foundation,NGOs and CSOs
Islamic Charity Association,NGOs and CSOs
Charitable Development Association,NGOs and CSOs
Indonesian Humanitarian Committee,NGOs and CSOs
Jordanian Charity Association,NGOs and CSOs
Arab Medical Equipment and Services Organization,Other
Center for Citizenship Education,NGOs and CSOs
ACT Alliance / United Church of Canada,NGOs and CSOs
Emmanuel International of Canada,NGOs and CSOs
The Palestine Solidarity Association in Sweden,NGOs and CSOs
Community Bridge Initiative,NGOs and CSOs
DIA - Social Justice in Development,NGOs and CSOs
Diocese of Meru,Other
Nahdlatul Ulamu,NGOs and CSOs
The Harvard Program on Humanitarian Policy and Conflict Research,NGOs and CSOs
Community Health and AIDS Mitigation Project,NGOs and CSOs
SantÈ pour le DÈveloppement et la StabilitÈ díHaÔti,NGOs and CSOs
Supply Chain Management System,Other
"Leadership, Management and Sustainability Program",Public Sector
PROMARK,Other
Forward Edge International,NGOs and CSOs
Instituto de Directores de Mocambique,NGOs and CSOs
Hands Together,NGOs and CSOs
World Care,NGOs and CSOs
Fondation Chreschte mam Sahel,NGOs and CSOs
Sant''Egidio,Other
Israel,Public Sector
Montenegro,Public Sector
11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw,NGOs and CSOs
Esperanza International Foundation,NGOs and CSOs
Grant Foundation,NGOs and CSOs
"Planned Parenthood Federation, International",NGOs and CSOs
AssociaÁ„o Sa˙de em PortuguÍs,NGOs and CSOs
Liberia WASH Consortium,Other
Plan Benin,NGOs and CSOs
Family Charitable Organisation,NGOs and CSOs
Cross International Cathoilc Outreach,NGOs and CSOs
Fondation Meninos e Meninas de Rua,NGOs and CSOs
FundaciÛn para las Relaciones Internacionales y el Di·logo Exterior,NGOs and CSOs
Urgence Rehabilitation et Developpement,NGOs and CSOs
Brazilian Red Cross,RCRC
NOOR Dubai,NGOs and CSOs
Stiftung des deutschen Instituts f¸r Katastrophenmedizin,NGOs and CSOs
Joint Research Centre,NGOs and CSOs
New Zealand,Public Sector
Burnet Institute,NGOs and CSOs
Organisation Marocaine Des Droits de l'homme,NGOs and CSOs
LPDS - Dr. Soetomo Press Institute,NGOs and CSOs
MRCA / AMI,Other
Centre for Research on the Epidemiology of Disasters,NGOs and CSOs
Oslosenteret for fred og menneskerettigheter,Other
Non-Aligned Movement Institute for the Empowerment of Women,NGOs and CSOs
Department of Settlement and Regional Infrastructure (Kimpraswil),Public Sector
National Space Agency of Ukraine,Public Sector
Bidan Kesehatan Department of Health Indonesia,Public Sector
Sewa Development Trust Sindh,Other
Sungi Development Foundation,NGOs and CSOs
"Children's Global Network, Pakistan (Guarantee) Limited",NGOs and CSOs
National Rural Support Programme,Other
Pak Rural Development Program,NGOs and CSOs
Central Community Chest of Japan,NGOs and CSOs
Second Harvest Japan,NGOs and CSOs
Japan Society,NGOs and CSOs
Burundikids e.V.,NGOs and CSOs
Las Qorey Concern,NGOs and CSOs
Human Rights Division of the United Nations Mission in Angola,UN Multi
Danidas Health Sector Programme Support,Public Sector
Counselling Services Unit,Other
Red Cross of Montenegro,RCRC
Center for Culture and Development,NGOs and CSOs
Global Forum on Migration and Development,NGOs and CSOs
Disaster Relief Agency,NGOs and CSOs
Associazione per la Participazione allo Svillupo,NGOs and CSOs
Landmine Survivors Initiatives,NGOs and CSOs
United Nations Office for Disarmament Affairs,UN Multi
Association for Empowerment of Persons with Disabilities,NGOs and CSOs
Hidaya Rehabilitation Corporation for Special Need,Other
ACT Alliance / Sudan Council of Churches,NGOs and CSOs
Health Alliance International,NGOs and CSOs
Sudanese Development Relief Agency,NGOs and CSOs
Al-Amal Charity Organization for the Disabled,NGOs and CSOs
Mingalar Myanmar,NGOs and CSOs
Action for Community Transformation Organization - Afghanistan,NGOs and CSOs
Promoting Recovery in Zimbabwe,NGOs and CSOs
Namibia CARES Movement,NGOs and CSOs
Agency for Peace and Development,NGOs and CSOs
Community Activity for Development and Relief Organization,NGOs and CSOs
Hijra,NGOs and CSOs
Horn of Africa Organization for Protection of Environment and Improvement of Livelihoods,NGOs and CSOs
St. John Eye Hospital,NGOs and CSOs
Safa Marwa Relief and Development Organization,Other
AGROCARE Community Development Association,NGOs and CSOs
Rasawad Welfare Association,NGOs and CSOs
Centarl Regions Livestock Professional Association,NGOs and CSOs
Somaction,NGOs and CSOs
The Survivor Network Foundation and People with Disability,NGOs and CSOs
Asian Network for Free Election,NGOs and CSOs
Northern Aid,NGOs and CSOs
Red Cross of the Democratic Republic of the Congo,RCRC
Helpage Programme - RD Congo,NGOs and CSOs
ÌÑrzte ohne Grenzen e.V.,Other
Shilale Rehabilitation and Ecological Concern,NGOs and CSOs
Active Development Aid,NGOs and CSOs
MSD-DK,Other
"Gift of the Givers Foundation (Pietermaritzburg, RSA)",NGOs and CSOs
The Swedish Organisation for Individual Relief,NGOs and CSOs
MPDL - PRTM,NGOs and CSOs
Arab Medical Association,NGOs and CSOs
Association Develop Horn,NGOs and CSOs
Wabi Shelbelle Development,NGOs and CSOs
Foundation for the Future,NGOs and CSOs
Centre de Recherche et d'Appui aux Initiatives de DÈveloppement IntÈgrÈ,NGOs and CSOs
Antares Foundation,NGOs and CSOs
Cooperazione Internazionale Sud Sud,NGOs and CSOs
Gargaaar Relief and Development Organization,NGOs and CSOs
Experts Comptables AssociÈs,Other
Merove-Pierre Et Associes,Other
BUCO - CRONGD,Public Sector
SST,Other
ACT Alliance / Life With Dignity,NGOs and CSOs
Arab Fund for Human Rights,NGOs and CSOs
Kurdish Human Rights Project,NGOs and CSOs
Beaconhouse,Other
Oslo Coalition on Freedom of Religion or Belief,NGOs and CSOs
Shifa Foundation,NGOs and CSOs
Sindh Radiant Organisation,NGOs and CSOs
Health and Human Rights Info,NGOs and CSOs
Bulay Development Organization,NGOs and CSOs
Access Development and Relief Organization,NGOs and CSOs
MAB Consulting,Other
UnitÈ de Recherche et d'Action MÈdico LÈgale,NGOs and CSOs
Vetworks Eastern Africa,NGOs and CSOs
Eastern Community Development and Humanitarian Organization,NGOs and CSOs
Kenya Community Sports Foundation,NGOs and CSOs
Echelle appui au dÈveloppement,Other
South Sudan ERF (until 2014),UN Multi
Society for Conservation and Protection of Environment,NGOs and CSOs
Upper Nile Kalaazar Eradication Association,NGOs and CSOs
United Nations Disengagement Observer Force,UN Multi
United Nations Voluntary Trust Fund on Contemporary Forms of Slavery,UN Multi
Heritage Foundation,NGOs and CSOs
Society Development Initiative Organization,NGOs and CSOs
Somali Community Development Foundation,NGOs and CSOs
University of Neuch‚tel,NGOs and CSOs
Partnership for Pastoralists Development Association,NGOs and CSOs
Humanitarian Forum,NGOs and CSOs
WorldFish,NGOs and CSOs
Peoples Democracy Platform,NGOs and CSOs
Viva Rio,NGOs and CSOs
Sports and Cooperation Network,NGOs and CSOs
All Hands Volunteers (previously Hands On Disaster Response),NGOs and CSOs
International Lifeline Fund,NGOs and CSOs
Spanish Association for Humanitarian Medicine,NGOs and CSOs
Sad Africa,NGOs and CSOs
Dejarup,Other
NU,Other
Satunama,NGOs and CSOs
Inprosula,Other
Somaliland community development Organization,NGOs and CSOs
Consejo Comunitario Mayor de la AsociaciÛn Campesina Integral del Atrato,NGOs and CSOs
CorporaciÛn Desarollo y Paz del Magdalena Medio,NGOs and CSOs
World Islamic Economic Forum Foundation,NGOs and CSOs
France Cooperation Internationale,Public Sector
Pastoralist Consultants International,NGOs and CSOs
Sudan Integrated Mine Action Service,NGOs and CSOs
Myanmar NGO Contingency Plan Steering Committee,NGOs and CSOs
Khuram and Sarbagh Rehabilitation Organization,NGOs and CSOs
Afghan Global Development Organization,NGOs and CSOs
Ludwig Boltzmann Institute of Human Rights,NGOs and CSOs
Den Norske Kirke,NGOs and CSOs
Global Forum for Media Development,NGOs and CSOs
Juridisk rÂdgivning for kvinner,Other
Patient Friendly Society,Other
"Balay Mindanaw Foundation, Inc.",NGOs and CSOs
Philippine Business for Social Progress,NGOs and CSOs
Natures Way,Other
Mavambo Orphan Care,NGOs and CSOs
Fundacion APY,NGOs and CSOs
