Recipient.Organization,recipientcodename
Bureau des Nations Unies en Centrafrique (United Nations Peace-Building Support Office in CAR),UN Multi
CorporaciÛn GestiÛn Ecuador,private individual/organisation
Caritas Katanga,NGOs
Apostolic Christian World Relief,NGOs
Pema Medical Charity,private individual/organisation
Tunisia,National government
Al Maktoum Foundation,foundations
Islamic Charity Association,NGOs
Charitable Development Association,NGOs
Indonesian Humanitarian Committee,private individual/organisation
Jordanian Charity Association,NGOs
Arab Medical Equipment and Services Organization,other
Center for Citizenship Education,foundations
ACT Alliance / United Church of Canada,NGOs
Emmanuel International of Canada,NGOs
The Palestine Solidarity Association in Sweden,NGOs
Community Bridge Initiative,NGOs
DIA - Social Justice in Development,NGOs
Diocese of Meru,other
Nahdlatul Ulamu,private individual/organisation
The Harvard Program on Humanitarian Policy and Conflict Research,academia/think/research
Community Health and AIDS Mitigation Project,NGOs
SantÈ pour le DÈveloppement et la StabilitÈ díHaÔti,NGOs
Supply Chain Management System,private sector corporations
"Leadership, Management and Sustainability Program",DAC governments
PROMARK,private sector corporations
Forward Edge International,NGOs
Instituto de Directores de Mocambique,private individual/organisation
Hands Together,NGOs
World Care,NGOs
Fondation Chreschte mam Sahel,foundations
Sant''Egidio,other
Israel,National government
Montenegro,National government
11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw,private individual/organisation
Esperanza International Foundation,NGOs
Grant Foundation,foundations
"Planned Parenthood Federation, International",NGOs
AssociaÁ„o Sa˙de em PortuguÍs,private individual/organisation
Liberia WASH Consortium,other
Plan Benin,NGOs
Family Charitable Organisation,private individual/organisation
Cross International Cathoilc Outreach,NGOs
Fondation Meninos e Meninas de Rua,foundations
FundaciÛn para las Relaciones Internacionales y el Di·logo Exterior,academia/think/research
Urgence Rehabilitation et Developpement,NGOs
Brazilian Red Cross,red cross
NOOR Dubai,private individual/organisation
Stiftung des deutschen Instituts f¸r Katastrophenmedizin,foundations
Joint Research Centre,academia/think/research
New Zealand,DAC governments
Burnet Institute,academia/think/research
Organisation Marocaine Des Droits de l'homme,NGOs
LPDS - Dr. Soetomo Press Institute,academia/think/research
MRCA / AMI,other
Centre for Research on the Epidemiology of Disasters,academia/think/research
Oslosenteret for fred og menneskerettigheter,other
Non-Aligned Movement Institute for the Empowerment of Women,academia/think/research
Department of Settlement and Regional Infrastructure (Kimpraswil),National government
National Space Agency of Ukraine,National government
Bidan Kesehatan Department of Health Indonesia,National government
Sewa Development Trust Sindh,other
Sungi Development Foundation,foundations
"Children's Global Network, Pakistan (Guarantee) Limited",private individual/organisation
National Rural Support Programme,other
Pak Rural Development Program,private individual/organisation
Central Community Chest of Japan,private individual/organisation
Second Harvest Japan,private individual/organisation
Japan Society,private individual/organisation
Burundikids e.V.,NGOs
Las Qorey Concern,NGOs
Human Rights Division of the United Nations Mission in Angola,UN Multi
Danidas Health Sector Programme Support,DAC governments
Counselling Services Unit,other
Red Cross of Montenegro,red cross
Center for Culture and Development,academia/think/research
Global Forum on Migration and Development,private individual/organisation
Disaster Relief Agency,NGOs
Associazione per la Participazione allo Svillupo,NGOs
Landmine Survivors Initiatives,NGOs
United Nations Office for Disarmament Affairs,UN Multi
Association for Empowerment of Persons with Disabilities,NGOs
Hidaya Rehabilitation Corporation for Special Need,other
ACT Alliance / Sudan Council of Churches,NGOs
Health Alliance International,NGOs
Sudanese Development Relief Agency,private individual/organisation
Al-Amal Charity Organization for the Disabled,NGOs
Mingalar Myanmar,NGOs
Action for Community Transformation Organization - Afghanistan,NGOs
Promoting Recovery in Zimbabwe,NGOs
Namibia CARES Movement,NGOs
Agency for Peace and Development,NGOs
Community Activity for Development and Relief Organization,private individual/organisation
Hijra,private individual/organisation
Horn of Africa Organization for Protection of Environment and Improvement of Livelihoods,NGOs
St. John Eye Hospital,private individual/organisation
Safa Marwa Relief and Development Organization,other
AGROCARE Community Development Association,private individual/organisation
Rasawad Welfare Association,private individual/organisation
Centarl Regions Livestock Professional Association,private individual/organisation
Somaction,NGOs
The Survivor Network Foundation and People with Disability,foundations
Asian Network for Free Election,private individual/organisation
Northern Aid,NGOs
Red Cross of the Democratic Republic of the Congo,red cross
Helpage Programme - RD Congo,NGOs
ÌÑrzte ohne Grenzen e.V.,other
Shilale Rehabilitation and Ecological Concern,NGOs
Active Development Aid,NGOs
MSD-DK,private sector corporations
"Gift of the Givers Foundation (Pietermaritzburg, RSA)",foundations
The Swedish Organisation for Individual Relief,NGOs
MPDL - PRTM,NGOs
Arab Medical Association,private individual/organisation
Association Develop Horn,NGOs
Wabi Shelbelle Development,NGOs
Foundation for the Future,foundations
Centre de Recherche et d'Appui aux Initiatives de DÈveloppement IntÈgrÈ,academia/think/research
Antares Foundation,foundations
Cooperazione Internazionale Sud Sud,NGOs
Gargaaar Relief and Development Organization,NGOs
Experts Comptables AssociÈs,other
Merove-Pierre Et Associes,private sector corporations
BUCO - CRONGD,DAC governments
SST,other
ACT Alliance / Life With Dignity,NGOs
Arab Fund for Human Rights,NGOs
Kurdish Human Rights Project,private individual/organisation
Beaconhouse,other
Oslo Coalition on Freedom of Religion or Belief,private individual/organisation
Shifa Foundation,foundations
Sindh Radiant Organisation,private individual/organisation
Health and Human Rights Info,private individual/organisation
Bulay Development Organization,NGOs
Access Development and Relief Organization,NGOs
MAB Consulting,private sector corporations
UnitÈ de Recherche et d'Action MÈdico LÈgale,academia/think/research
Vetworks Eastern Africa,private individual/organisation
Eastern Community Development and Humanitarian Organization,NGOs
Kenya Community Sports Foundation,foundations
Echelle appui au dÈveloppement,other
South Sudan ERF (until 2014),CBPF
Society for Conservation and Protection of Environment,private individual/organisation
Upper Nile Kalaazar Eradication Association,NGOs
United Nations Disengagement Observer Force,UN Multi
United Nations Voluntary Trust Fund on Contemporary Forms of Slavery,UN Multi
Heritage Foundation,academia/think/research
Society Development Initiative Organization,private individual/organisation
Somali Community Development Foundation,NGOs
University of Neuch‚tel,academia/think/research
Partnership for Pastoralists Development Association,private individual/organisation
Humanitarian Forum,private individual/organisation
WorldFish,academia/think/research
Peoples Democracy Platform,private individual/organisation
Viva Rio,NGOs
Sports and Cooperation Network,NGOs
All Hands Volunteers (previously Hands On Disaster Response),NGOs
International Lifeline Fund,NGOs
Spanish Association for Humanitarian Medicine,private individual/organisation
Sad Africa,NGOs
Dejarup,other
NU,other
Satunama,NGOs
Inprosula,private sector corporations
Somaliland community development Organization,NGOs
Consejo Comunitario Mayor de la AsociaciÛn Campesina Integral del Atrato,private individual/organisation
CorporaciÛn Desarollo y Paz del Magdalena Medio,NGOs
World Islamic Economic Forum Foundation,private individual/organisation
France Cooperation Internationale,DAC governments
Pastoralist Consultants International,private individual/organisation
Sudan Integrated Mine Action Service,NGOs
Myanmar NGO Contingency Plan Steering Committee,NGOs
Khuram and Sarbagh Rehabilitation Organization,private individual/organisation
Afghan Global Development Organization,NGOs
Ludwig Boltzmann Institute of Human Rights,academia/think/research
Den Norske Kirke,private individual/organisation
Global Forum for Media Development,private individual/organisation
Juridisk rÂdgivning for kvinner,other
Patient Friendly Society,other
"Balay Mindanaw Foundation, Inc.",foundations
Philippine Business for Social Progress,private individual/organisation
Natures Way,private sector corporations
Mavambo Orphan Care,NGOs
Fundacion APY,foundations
Azza Women Association,NGOs
STC-NOR,NGOs
European Grassroots Antiracist Movement,other
Aga Khan Foundation Tajikistan,NGOs
The Family Centre,other
Baptist Aotearoa NZ Aid,NGOs
Foundation for the Peoples of the South Pacific International,foundations
Gol-yome Rehabilitation and Development Organization,other
Jubaland Development Organization,NGOs
Neighborhood Disaster Volunteers,other
Majulah Indonesia Tanah Airku,other
Radanar Ayar Association,NGOs
Forum for African Women Educationalist Gambia Chapter,NGOs
Danish Refugee Council/AFS Danish People's Aid,NGOs
"Society for Skills, Trainings & Development",other
Khushal Awareness and Development Organization,NGOs
Young Welfare Society,NGOs
United Rural Development Organization,private individual/organisation
Tribal Reforms and Development Organization,other
Thardeep Rural Development Programme,private individual/organisation
Society for Community Development,NGOs
"Society for the Advancement, Community, health, Education and Training",NGOs
Society for Awareness and Change,other
Shah Sachal Sami Foundation,NGOs
Sath Development Organization,NGOs
Sahkar Dost Welfare Association,NGOs
Rural Development Initiative Pakistan,NGOs
Roshni Development Organization,NGOs
Pattan Development Organization,NGOs
Participatory Integrated Development Society,NGOs
Organization for Social Development Initiatives,NGOs
National Integrated and Development Association (NIDA-Pakistan),NGOs
Kohsar Welfare and Educational Society,NGOs
Kher Khegara Tanzeem,NGOs
Innovative Development Organization,NGOs
Diamer Poverty Alleviation Programme,NGOs
Devcon,other
Cavish Development Foundation,NGOs
Balochistan Environmental and Educational Journey,NGOs
Awaz Foundation Pakistan Center for Development Services,foundations
Association of Development Awareness and Motivation,NGOs
Women Welfare Organization Poonch,NGOs
Initiative for Change,NGOs
Tehreek,other
Shining Light Community Development Organization,NGOs
Hope Worldwide,NGOs
Community Appraisal Programme,other
Aman Organization,NGOs
Australian Volunteers International,NGOs
Collaborative for Development Action,NGOs
SNG,other
Human Help Network e.V.,NGOs
United Nations Angola Verification Mission,UN Multi
Danish De-mining Centre,NGOs
Perkumpulan Paluma Nusantara,other
The Emergency Management Agency of Greater Copenhagen,DAC governments
MS Denmark,DAC governments
Bakpiny Community Development Agency,NGOs
"Commission for Reception, Truth and Reconciliation",other
Coof Havanna,NGOs
REA - RÈhabilitation  Education Aide social,NGOs
BDCD,other
VAS,other
CommunautÈ des Eglises de PentecÙte au Burundi,Undefined
BDD Kasongo,private individual/organisation
The Rendon Group,private sector corporations
Inter-Actions,NGOs
Louis Berger,private sector corporations
BDC Anglican,private individual/organisation
Pelayanan Advokasi untuk Keadilan dan Perdamaian Indonesia,other
Yayasan Ananda Marga Indonesia,other
Acehís People Forum,NGOs
Corporacion Opcion Legal,private sector corporations
Fact Mutare,NGOs
Environment Africa,NGOs
Mildmay,NGOs
"Citizens' Disaster Response Center, Inc",NGOs
Groupe díAction pour la Promotion de la Femme,other
Vie Sacree,NGOs
Actions pour la Protection et líEncadrement de líEnfant,NGOs
Yayasan Dian Desa,other
United Nations Corps of Guards in Iraq,UN Multi
Save and Serve,NGOs
